id,referencia,marca,capacidad,consumo,ciudad,responsable
1104,ACH22,rico,2449,2174,itagui,Martha builes
3084,ACH01,rico,1944,1613,La estrella,Pedro Perez
3939,ACH22,rico,1366,1078,Sabaneta,Pedro Perez
1003,ACH43,sony,468,211,Medellin,Pedro Perez
1617,ACH22,sony,1212,1129,Sabaneta,Carlos Zapata
3505,ACH01,kalley,894,830,Envigado,Martha builes
5092,ACH43,kalley,977,528,Envigado,Jhon doe
3683,ACH43,kalley,1829,1551,La estrella,Pedro Perez
6932,ACH01,sony,2054,2007,itagui,Jhon doe
8114,ACH43,sony,1923,1995,La estrella,Carlos Zapata
5574,ACH43,kalley,824,701,Envigado,Carlos Zapata
7356,ACH43,sony,1621,1526,La estrella,Pedro Perez
5432,ACH22,kalley,312,275,Medellin,Jhon doe
3298,ACH01,kalley,2167,2444,itagui,Jhon doe
6936,ACH01,kalley,2382,2057,itagui,Pedro Perez
7089,ACH22,sony,2014,2184,itagui,Martha builes
6676,ACH22,kalley,2225,2466,itagui,Carlos Zapata
3921,ACH43,sony,1764,1630,La estrella,Pedro Perez
7527,ACH01,sony,1709,1717,La estrella,Martha builes
8181,ACH01,kalley,1945,1611,La estrella,Ana Rubio
6330,ACH43,rico,382,120,Medellin,Jhon doe
6652,ACH01,sony,540,566,Envigado,Carlos Zapata
979,ACH01,sony,170,451,Medellin,Pedro Perez
864,ACH43,sony,1625,1825,La estrella,Jhon doe
2031,ACH01,sony,381,435,Medellin,Carlos Zapata
46,ACH22,kalley,808,787,Envigado,Martha builes
1753,ACH22,kalley,1669,1821,La estrella,Pedro Perez
4234,ACH43,rico,2470,2213,itagui,Jhon doe
6841,ACH43,sony,1868,1805,La estrella,Ana Rubio
3632,ACH43,rico,1607,1929,La estrella,Carlos Zapata
1618,ACH43,rico,893,640,Envigado,Pedro Perez
2401,ACH01,sony,2414,2390,itagui,Jhon doe
539,ACH43,rico,442,470,Medellin,Martha builes
7194,ACH01,rico,2163,2174,itagui,Ana Rubio
8752,ACH22,kalley,1744,1881,La estrella,Jhon doe
2969,ACH22,kalley,1196,1054,Sabaneta,Carlos Zapata
9448,ACH43,rico,2203,2129,itagui,Jhon doe
7165,ACH01,sony,1399,1012,Sabaneta,Ana Rubio
779,ACH43,kalley,1121,1148,Sabaneta,Jhon doe
9751,ACH01,kalley,940,712,Envigado,Ana Rubio
4240,ACH43,rico,828,860,Envigado,Ana Rubio
7095,ACH43,rico,2290,2267,itagui,Jhon doe
2301,ACH01,sony,1078,1261,Sabaneta,Ana Rubio
1157,ACH22,sony,1725,1670,La estrella,Ana Rubio
3301,ACH43,rico,562,593,Envigado,Carlos Zapata
1699,ACH01,kalley,1262,1155,Sabaneta,Jhon doe
7317,ACH43,sony,1163,1303,Sabaneta,Martha builes
9228,ACH43,rico,1208,1278,Sabaneta,Ana Rubio
3057,ACH43,sony,387,133,Medellin,Carlos Zapata
9115,ACH01,sony,365,211,Medellin,Martha builes
4966,ACH01,kalley,1672,1944,La estrella,Pedro Perez
5313,ACH01,kalley,2212,2089,itagui,Ana Rubio
9654,ACH01,kalley,233,383,Medellin,Ana Rubio
763,ACH43,rico,345,306,Medellin,Jhon doe
7288,ACH01,rico,393,333,Medellin,Ana Rubio
5706,ACH22,sony,448,360,Medellin,Martha builes
4505,ACH22,kalley,1128,1170,Sabaneta,Ana Rubio
1416,ACH22,kalley,234,212,Medellin,Ana Rubio
1308,ACH43,kalley,785,791,Envigado,Ana Rubio
9454,ACH22,sony,1350,1489,Sabaneta,Jhon doe
7173,ACH43,sony,727,753,Envigado,Ana Rubio
3086,ACH01,sony,1544,1710,La estrella,Martha builes
9570,ACH22,rico,2084,2461,itagui,Jhon doe
687,ACH43,sony,136,149,Medellin,Carlos Zapata
1919,ACH43,rico,2409,2264,itagui,Ana Rubio
7338,ACH01,sony,591,951,Envigado,Martha builes
956,ACH43,kalley,857,854,Envigado,Martha builes
4043,ACH43,rico,2153,2156,itagui,Ana Rubio
811,ACH01,rico,2364,2073,itagui,Martha builes
8376,ACH22,kalley,771,871,Envigado,Pedro Perez
3936,ACH22,kalley,1069,1369,Sabaneta,Martha builes
310,ACH22,rico,1848,1510,La estrella,Ana Rubio
4661,ACH22,rico,1995,1865,La estrella,Martha builes
5548,ACH43,kalley,107,230,Medellin,Carlos Zapata
2729,ACH01,rico,1122,1329,Sabaneta,Ana Rubio
2341,ACH43,sony,1584,1846,La estrella,Carlos Zapata
5912,ACH01,kalley,2196,2243,itagui,Pedro Perez
6162,ACH01,sony,197,285,Medellin,Jhon doe
8233,ACH22,kalley,1997,1592,La estrella,Ana Rubio
9198,ACH01,sony,1784,1567,La estrella,Martha builes
5345,ACH01,rico,2177,2141,itagui,Jhon doe
1879,ACH01,sony,333,144,Medellin,Ana Rubio
9000,ACH22,rico,407,419,Medellin,Pedro Perez
6849,ACH01,rico,119,291,Medellin,Jhon doe
8057,ACH01,sony,115,368,Medellin,Jhon doe
2172,ACH43,rico,1031,1206,Sabaneta,Pedro Perez
6104,ACH43,rico,2018,2203,itagui,Pedro Perez
9311,ACH22,kalley,1947,1545,La estrella,Jhon doe
9702,ACH22,sony,2464,2418,itagui,Jhon doe
7369,ACH43,sony,1572,1684,La estrella,Martha builes
3641,ACH01,kalley,2173,2128,itagui,Martha builes
1524,ACH22,sony,1671,1879,La estrella,Pedro Perez
4688,ACH22,sony,1152,1485,Sabaneta,Martha builes
